method,seed,heldout_score,per_game_mean,per_game_worst_decile,per_game_worst_band_mean,per_game_std,sim_mean,sim_std,sim_worst_decile,sim_truncated_frac
STATIC,1011,1.0234078384984793,0.5122077203704702,0.4791444109242816,0.5099833758570866,0.025192835538722633,,,,
STATIC,1012,1.028159776642302,0.5133791269108986,0.4791444109242816,0.5126252002478893,0.031075504468267158,,,,
STATIC,1013,1.022561968311257,0.5122438071286909,0.4791444109242816,0.5112492254275343,0.029693342635968033,,,,
STATIC,1014,1.0267614456123915,0.5125114044747954,0.4791444109242816,0.5111656263702384,0.030877065435483107,,,,
STATIC,2000,0.5143655428326197,0.51535478410999,0.4791444109242816,0.5127820217713275,0.03910746549555751,,,,
STATIC,2000,1.0250185581095346,0.5136761860464257,0.4791444109242816,0.511171801478841,0.03754361295326212,,,,
STATIC,2000,1.535375112331912,0.5136942447951905,0.4791444109242816,0.51049139006441,0.029434205341235413,,,,
STATIC,2001,0.5144697032043495,0.5143444177611787,0.4791444109242816,0.5113485582120555,0.03415410886368026,,,,
STATIC,2001,1.0260053978978232,0.5122704366649126,0.4791444109242816,0.5110686536715527,0.03181554378963512,,,,
STATIC,2001,1.5352206250687923,0.5138650603607747,0.4791444109242816,0.5119630748058439,0.027207079390212094,,,,
STATIC,2002,0.5110245243097327,0.5112259094454789,0.4791444109242816,0.5075769288280236,0.03156083811592096,,,,
STATIC,2002,1.0254125349570464,0.5146172340380217,0.4791444109242816,0.512202781775382,0.03269544236699997,,,,
STATIC,2002,1.5363868146402038,0.51300783264077,0.4791444109242816,0.5114029325790724,0.031500156530734624,,,,
STATIC,2003,0.5153374084332436,0.5160136942674413,0.4791444109242816,0.5137542960041073,0.03675474653450325,,,,
STATIC,2003,1.0258350130450655,0.5140541841182278,0.4791444109242816,0.5111066349488846,0.039284638368916505,,,,
STATIC,2003,1.5400779132333575,0.5145542480731264,0.4791444109242816,0.5133704906028359,0.03071608344241127,,,,
STATIC,2004,0.5124124811938968,0.512988869565801,0.4791444109242816,0.5104128663983647,0.02907618908878332,,,,
STATIC,2004,1.0283931542465972,0.5167832738284251,0.4791444109242816,0.5142220841552841,0.0408152006920744,,,,
STATIC,2004,1.5341703537356628,0.5130837736098283,0.4791444109242816,0.5111731770594884,0.028355412450602264,,,,
STATIC_DIV,1000,1.022952570227461,0.5124924154555374,0.4791444109242816,0.511359388277519,0.028412374079050638,0.5287700301681466,0.15672825335672455,0.5208555890757184,0.9
STATIC_DIV,1001,1.0278154924741962,0.5126610593007602,0.4791444109242816,0.5107202919290387,0.030621566617013537,0.5400213655126896,0.09389274558967328,0.5208555890757184,0.96
STATIC_DIV,1002,1.0281630767587013,0.5145623874424345,0.4791444109242816,0.5126294431372981,0.03357242501304379,0.5208555890757185,1.1102230246251565e-16,0.5208555890757184,1.0
STATIC_DIV,1003,1.022488045988288,0.5120979953789745,0.4791444109242816,0.5096316676834174,0.031215951626845564,0.5487700301681466,0.15170017862060603,0.5208555890757184,0.9
STATIC_DIV,1004,1.0230713576558115,0.5122649175448479,0.4791444109242816,0.5103959913675616,0.030536078208058027,0.4896042537311754,0.1236963488526146,0.5208555890757184,0.94
STATIC_DIV,1005,1.0279329016259187,0.516415900887637,0.4791444109242816,0.513405638966492,0.03429116766760583,,,,
STATIC_DIV,1006,1.02916215420164,0.5151112125357455,0.4791444109242816,0.5125925857686718,0.03449645974760887,,,,
STATIC_DIV,1007,1.0237367658065326,0.5130039702147484,0.4791444109242816,0.5109302842289206,0.029969350545763693,,,,
STATIC_DIV,1008,1.0220917025303702,0.5115544821522316,0.4791444109242816,0.5097423754299193,0.029795220585641616,,,,
STATIC_DIV,1009,1.0271159852250955,0.5138960047863796,0.4791444109242816,0.5120547355497271,0.03170956236057779,,,,
STATIC_DIV,1010,1.0263318387130398,0.5130917604962277,0.4791444109242816,0.5118635874307326,0.031344584347143094,,,,
STATIC_DIV,1011,1.0203826955781716,0.511574067256694,0.4791444109242816,0.5088139229248878,0.028681167203138732,,,,
STATIC_DIV,1012,1.0230410233352236,0.5105900781728279,0.4791444109242816,0.5102671314926129,0.02855614438231221,,,,
STATIC_DIV,1013,1.0188424530399365,0.5102655736332412,0.4791444109242816,0.5074588937754636,0.03432999183917743,,,,
STATIC_DIV,1014,1.0214408085716058,0.5110522593284307,0.4791444109242816,0.5077173512394058,0.028692418944954664,,,,
most_played_baseline,1000,0.9948738769984543,0.4979461880023238,0.463616050858371,0.49573654675855594,0.028410463043878446,,,,
most_played_baseline,1001,0.9940721805046165,0.4972146130375641,0.4638371676350905,0.4962189158949693,0.026033986428613622,,,,
most_played_baseline,1002,0.9940721805046165,0.4978334731992507,0.4651297167853944,0.49658750695010623,0.027468697368044602,,,,
most_played_baseline,1003,0.9940721805046165,0.49680029011265125,0.4638371676350905,0.49562592941044203,0.02625640401644751,,,,
most_played_baseline,1004,0.9940721805046165,0.49748625258459345,0.4636890447945894,0.49625681207163624,0.027130013048200573,,,,
most_played_baseline,1005,0.9940721805046165,0.49787722246566424,0.4651297167853944,0.4966068942939505,0.027457415514767543,,,,
most_played_baseline,1006,0.9940721805046165,0.4976344548231077,0.46402309232001315,0.496375210009926,0.026674605774381393,,,,
most_played_baseline,1007,0.9940721805046165,0.4980021695767355,0.4636890447945894,0.49697849214829554,0.027565978647457266,,,,
most_played_baseline,1008,0.9940721805046165,0.4980681641242442,0.46520796933401587,0.49656713206201997,0.026280160724970816,,,,
most_played_baseline,1009,0.9940721805046165,0.4972790471644824,0.4638371676350905,0.4960692920771116,0.028163845212879873,,,,
