Loading held-out artifacts ...
Loading runs ...
Loaded 151 runs.

== Probe A: per-game trajectory sampling ==
[A  96/151] most_played_baseline s1005  pg_mean=0.4979  pg_q10=0.4651  (0.1s)
[A  97/151] most_played_baseline s1006  pg_mean=0.4976  pg_q10=0.4640  (0.1s)
[A  98/151] most_played_baseline s1007  pg_mean=0.4980  pg_q10=0.4637  (0.1s)
[A  99/151] most_played_baseline s1008  pg_mean=0.4981  pg_q10=0.4652  (0.0s)
[A 100/151] most_played_baseline s1009  pg_mean=0.4973  pg_q10=0.4638  (0.1s)
[A 101/151] most_played_baseline s1010  pg_mean=0.4970  pg_q10=0.4637  (0.0s)
[A 102/151] most_played_baseline s1011  pg_mean=0.4981  pg_q10=0.4656  (0.1s)
[A 103/151] most_played_baseline s1012  pg_mean=0.4973  pg_q10=0.4638  (0.0s)
[A 104/151] most_played_baseline s1013  pg_mean=0.4971  pg_q10=0.4640  (0.1s)
[A 105/151] most_played_baseline s1014  pg_mean=0.4980  pg_q10=0.4652  (0.0s)
[A 106/151] SKIP None sNone — no final_best_candidate
[A 107/151] STATIC_DIV       s1000  pg_mean=0.5125  pg_q10=0.4791  (0.1s)
[A 108/151] STATIC_DIV       s1001  pg_mean=0.5127  pg_q10=0.4791  (0.1s)C:\Users\Hp\AppData\Roaming\Python\Python313\site-packages\scipy\stats\_wilcoxon.py:172: RuntimeWarning: invalid value encountered in scalar divide
  z = (r_plus - mn) / se

[A 109/151] STATIC_DIV       s1002  pg_mean=0.5146  pg_q10=0.4791  (0.0s)
[A 110/151] STATIC_DIV       s1003  pg_mean=0.5121  pg_q10=0.4791  (0.0s)
[A 111/151] STATIC_DIV       s1004  pg_mean=0.5123  pg_q10=0.4791  (0.0s)
[A 112/151] STATIC_DIV       s1005  pg_mean=0.5164  pg_q10=0.4791  (0.1s)
[A 113/151] STATIC_DIV       s1006  pg_mean=0.5151  pg_q10=0.4791  (0.0s)
[A 114/151] STATIC_DIV       s1007  pg_mean=0.5130  pg_q10=0.4791  (0.1s)
[A 115/151] STATIC_DIV       s1008  pg_mean=0.5116  pg_q10=0.4791  (0.0s)
[A 116/151] STATIC_DIV       s1009  pg_mean=0.5139  pg_q10=0.4791  (0.0s)
[A 117/151] STATIC_DIV       s1010  pg_mean=0.5131  pg_q10=0.4791  (0.0s)
[A 118/151] STATIC_DIV       s1011  pg_mean=0.5116  pg_q10=0.4791  (0.0s)
[A 119/151] STATIC_DIV       s1012  pg_mean=0.5106  pg_q10=0.4791  (0.0s)
[A 120/151] STATIC_DIV       s1013  pg_mean=0.5103  pg_q10=0.4791  (0.1s)
[A 121/151] STATIC_DIV       s1014  pg_mean=0.5111  pg_q10=0.4791  (0.0s)
[A 122/151] STATIC           s2000  pg_mean=0.5154  pg_q10=0.4791  (0.1s)
[A 123/151] STATIC           s2001  pg_mean=0.5143  pg_q10=0.4791  (0.0s)
[A 124/151] STATIC           s2002  pg_mean=0.5112  pg_q10=0.4791  (0.1s)
[A 125/151] STATIC           s2003  pg_mean=0.5160  pg_q10=0.4791  (0.0s)
[A 126/151] STATIC           s2004  pg_mean=0.5130  pg_q10=0.4791  (0.0s)
[A 127/151] STATIC           s1000  pg_mean=0.5145  pg_q10=0.4791  (0.1s)
[A 128/151] STATIC           s1001  pg_mean=0.5132  pg_q10=0.4791  (0.0s)
[A 129/151] STATIC           s1002  pg_mean=0.5142  pg_q10=0.4791  (0.0s)
[A 130/151] STATIC           s1003  pg_mean=0.5145  pg_q10=0.4791  (0.1s)
[A 131/151] STATIC           s1004  pg_mean=0.5133  pg_q10=0.4791  (0.0s)
[A 132/151] STATIC           s1005  pg_mean=0.5174  pg_q10=0.4791  (0.1s)
[A 133/151] STATIC           s1006  pg_mean=0.5137  pg_q10=0.4791  (0.1s)
[A 134/151] STATIC           s1007  pg_mean=0.5154  pg_q10=0.4791  (0.0s)
[A 135/151] STATIC           s1008  pg_mean=0.5141  pg_q10=0.4791  (0.0s)
[A 136/151] STATIC           s1009  pg_mean=0.5165  pg_q10=0.4791  (0.0s)
[A 137/151] STATIC           s1010  pg_mean=0.5115  pg_q10=0.4791  (0.1s)
[A 138/151] STATIC           s1011  pg_mean=0.5122  pg_q10=0.4791  (0.0s)
[A 139/151] STATIC           s1012  pg_mean=0.5134  pg_q10=0.4791  (0.0s)
[A 140/151] STATIC           s1013  pg_mean=0.5122  pg_q10=0.4791  (0.0s)
[A 141/151] STATIC           s1014  pg_mean=0.5125  pg_q10=0.4791  (0.0s)
[A 142/151] STATIC           s2000  pg_mean=0.5137  pg_q10=0.4791  (0.0s)
[A 143/151] STATIC           s2001  pg_mean=0.5123  pg_q10=0.4791  (0.0s)
[A 144/151] STATIC           s2002  pg_mean=0.5146  pg_q10=0.4791  (0.0s)
[A 145/151] STATIC           s2003  pg_mean=0.5141  pg_q10=0.4791  (0.0s)
[A 146/151] STATIC           s2004  pg_mean=0.5168  pg_q10=0.4791  (0.0s)
[A 147/151] STATIC           s2000  pg_mean=0.5137  pg_q10=0.4791  (0.0s)
[A 148/151] STATIC           s2001  pg_mean=0.5139  pg_q10=0.4791  (0.1s)
[A 149/151] STATIC           s2002  pg_mean=0.5130  pg_q10=0.4791  (0.1s)
[A 150/151] STATIC           s2003  pg_mean=0.5146  pg_q10=0.4791  (0.1s)
[A 151/151] STATIC           s2004  pg_mean=0.5131  pg_q10=0.4791  (0.0s)

== Probe B: python-chess game simulation ==
[B] pilot opponent: aggregate-freq fallback  (20 runs × 50 games)
[B   1/20] COEVOLVE_D       s1000  sim_mean=0.5000  sim_q10=0.5209  trunc=0.96  (1.8s)
[B   2/20] COEVOLVE_D       s1001  sim_mean=0.5296  sim_q10=0.5209  trunc=0.94  (1.7s)
[B   3/20] COEVOLVE_D       s1002  sim_mean=0.5400  sim_q10=0.5209  trunc=0.96  (1.8s)
[B   4/20] COEVOLVE_D       s1003  sim_mean=0.5392  sim_q10=0.5209  trunc=0.92  (1.8s)
[B   5/20] COEVOLVE_D       s1004  sim_mean=0.5400  sim_q10=0.5209  trunc=0.96  (1.9s)
[B   6/20] COEVOLVE         s1000  sim_mean=0.5096  sim_q10=0.5209  trunc=0.94  (1.8s)
[B   7/20] COEVOLVE         s1001  sim_mean=0.5209  sim_q10=0.5209  trunc=1.00  (1.9s)
[B   8/20] COEVOLVE         s1002  sim_mean=0.5400  sim_q10=0.5209  trunc=0.96  (1.9s)
[B   9/20] COEVOLVE         s1003  sim_mean=0.5000  sim_q10=0.5209  trunc=0.96  (1.9s)
[B  10/20] COEVOLVE         s1004  sim_mean=0.5200  sim_q10=0.5209  trunc=0.96  (1.8s)
[B  11/20] STATIC_DIV       s1000  sim_mean=0.5288  sim_q10=0.5209  trunc=0.90  (1.7s)
[B  12/20] STATIC_DIV       s1001  sim_mean=0.5400  sim_q10=0.5209  trunc=0.96  (1.8s)
[B  13/20] STATIC_DIV       s1002  sim_mean=0.5209  sim_q10=0.5209  trunc=1.00  (1.8s)
[B  14/20] STATIC_DIV       s1003  sim_mean=0.5488  sim_q10=0.5209  trunc=0.90  (1.8s)
[B  15/20] STATIC_DIV       s1004  sim_mean=0.4896  sim_q10=0.5209  trunc=0.94  (1.9s)
[B  16/20] STATIC           s1000  sim_mean=0.5096  sim_q10=0.5209  trunc=0.94  (1.8s)
[B  17/20] STATIC           s1001  sim_mean=0.5104  sim_q10=0.5209  trunc=0.98  (1.8s)
[B  18/20] STATIC           s1002  sim_mean=0.5096  sim_q10=0.5209  trunc=0.94  (1.8s)
[B  19/20] STATIC           s1003  sim_mean=0.5104  sim_q10=0.5209  trunc=0.98  (1.9s)
[B  20/20] STATIC           s1004  sim_mean=0.5200  sim_q10=0.5209  trunc=0.96  (1.8s)

Wrote results\probe_report.csv  (150 rows)
Wrote results\probe_summary.csv  (44 rows)

======================================================================
Phase 1 → Phase 2 decision gate
======================================================================
  COEVOLVE_D vs STATIC on per_game_worst_decile       : A12=0.500  p=nan
  COEVOLVE_D vs STATIC on sim_mean                    : A12=0.800  p=0.0625  [GATE HIT]
  COEVOLVE_D vs STATIC on sim_worst_decile            : A12=0.500  p=1.0

-> Phase 2 triggered: scale up Probe B to full 15 seeds x all methods.
