variant,gen,repertoire_diversity,opponent_diversity,hof_size,hof_mean_informativeness,opp_mean_perturbations
COEVOLVE_B,0,0.5987928569482598,0.49540876270844236,15.0,,
COEVOLVE_B,1,0.7467322643897879,0.45633411415675496,15.0,,
COEVOLVE_B,2,0.7366732779904052,0.43251610931791407,15.0,,
COEVOLVE_B,3,0.6362936395646623,0.40941811804770034,15.0,,
COEVOLVE_B,4,0.534623622826844,0.3986028623940709,15.0,,
COEVOLVE_B,5,0.4770366935028842,0.4006830675625137,15.0,,
COEVOLVE_B,6,0.4525201393662801,0.37106952039046004,15.0,,
COEVOLVE_B,7,0.3963897202618541,0.3640786039770839,15.0,,
COEVOLVE_B,8,0.36093371369636146,0.3615652159377374,15.0,,
COEVOLVE_B,9,0.29294977762772195,0.3362136375683483,15.0,,
COEVOLVE_B,10,0.301659456019203,0.33937312503357003,15.0,,
COEVOLVE_B,11,0.2919690053326786,0.3297439244593773,15.0,,
COEVOLVE_B,12,0.3288444167697902,0.3113172625214169,15.0,,
COEVOLVE_B,13,0.35603178961371473,0.29883161749770537,15.0,,
COEVOLVE_B,14,0.29620304887720306,0.2948334465814297,15.0,,
COEVOLVE_B,15,0.27451209494709566,0.30168463309203886,15.0,,
COEVOLVE_B,16,0.2936940034216764,0.3003215666039161,15.0,,
COEVOLVE_B,17,0.27875238942679936,0.2999082858061696,15.0,,
COEVOLVE_B,18,0.2441437674005592,0.3022859124362284,15.0,,
COEVOLVE_B,19,0.22966092398213048,0.28808278579481067,15.0,,
COEVOLVE_B,20,0.2337703668382113,0.28838506919455636,15.0,,
COEVOLVE_B,21,0.23284687391501666,0.2878631924433245,15.0,,
COEVOLVE_B,22,0.22505605260770176,0.2962032129237279,15.0,,
COEVOLVE_B,23,0.20208808071114237,0.30648022360931154,15.0,,
COEVOLVE_B,24,0.23251617138868355,0.29868351679737587,15.0,,
COEVOLVE_B,25,0.2159413299152902,0.29987907938850183,15.0,,
COEVOLVE_B,26,0.19409433245197374,0.2750020390165094,15.0,,
COEVOLVE_B,27,0.17087984058994307,0.277810328756655,15.0,,
COEVOLVE_B,28,0.1853072133412827,0.28830223551172784,15.0,,
COEVOLVE_B,29,0.17900539404118776,0.29298692394366355,15.0,,
COEVOLVE_B,30,0.17705376537577458,0.2920996720514355,15.0,,
COEVOLVE_B,31,0.1565282257354206,0.29795011992631554,15.0,,
COEVOLVE_B,32,0.1521080455967541,0.2885463773265711,15.0,,
COEVOLVE_B,33,0.16108222745770115,0.2802102341486327,15.0,,
COEVOLVE_B,34,0.16742919201053816,0.2833748071456606,15.0,,
COEVOLVE_B,35,0.1433130477461701,0.28084917700664547,15.0,,
COEVOLVE_B,36,0.16697500612009702,0.2769473884984174,15.0,,
COEVOLVE_B,37,0.14990942776335298,0.28226229392705665,15.0,,
COEVOLVE_B,38,0.15074735660644187,0.2914979426782749,15.0,,
COEVOLVE_B,39,0.13887650995171164,0.27976191878696816,15.0,,
COEVOLVE_B,40,0.1571741472703191,0.28919165204112385,15.0,,
COEVOLVE_B,41,0.17517594863451735,0.2893289912282463,15.0,,
COEVOLVE_B,42,0.12983037461134514,0.2848263812018512,15.0,,
COEVOLVE_B,43,0.1802462715579177,0.28307376229495834,15.0,,
COEVOLVE_B,44,0.1631269456231705,0.268471533635195,15.0,,
COEVOLVE_B,45,0.16320990727281232,0.28234699140232133,15.0,,
COEVOLVE_B,46,0.13191071925063153,0.2770540231716756,15.0,,
COEVOLVE_B,47,0.17616194533004217,0.281528014780239,15.0,,
COEVOLVE_B,48,0.14959107609652517,0.27806668196160006,15.0,,
COEVOLVE_B,49,0.14221930755492185,0.2846185160996791,15.0,,
COEVOLVE_C,0,0.5977277348587299,0.5768660599771253,5.0,2.3164716077569965e-05,0.2800000000000001
COEVOLVE_C,1,0.7602624340996861,0.5677204961403298,5.0,2.4151669325086525e-05,0.5433333333333333
COEVOLVE_C,2,0.7260186998947465,0.5257004539377521,5.0,2.436231627308516e-05,0.77
COEVOLVE_C,3,0.6419696704677295,0.4933745715731247,5.0,2.510972920529808e-05,0.91
COEVOLVE_C,4,0.5871351364755404,0.4697801039095783,5.0,2.564408071801097e-05,0.9866666666666667
COEVOLVE_C,5,0.5456401781469087,0.4620966450697462,5.0,2.568904663291745e-05,1.13
COEVOLVE_C,6,0.4418110172012015,0.4521931646516742,5.0,2.568904663291745e-05,1.2666666666666664
COEVOLVE_C,7,0.3716590798142116,0.44938958221433806,5.0,2.9110778013767273e-05,1.346666666666667
COEVOLVE_C,8,0.3409095492073366,0.4209264149993617,5.0,2.9110778013767273e-05,1.4533333333333331
COEVOLVE_C,9,0.32682571622672024,0.41255436654923444,5.0,2.960584334073584e-05,1.6433333333333333
COEVOLVE_C,10,0.26732096036672376,0.39247392800931463,5.0,2.9992518415833506e-05,1.8233333333333335
COEVOLVE_C,11,0.27683147134460373,0.39506759139613856,5.0,3.0393637483463998e-05,2.01
COEVOLVE_C,12,0.25273929510096277,0.3725555661198082,5.0,3.067127493517914e-05,2.136666666666667
COEVOLVE_C,13,0.20991596955252131,0.35614199065015734,5.0,3.067127493517914e-05,2.0900000000000003
COEVOLVE_C,14,0.25316106111403525,0.35826194185912263,5.0,3.166664808917534e-05,2.15
COEVOLVE_C,15,0.2317521198473996,0.3388978957949919,5.0,3.237676399395223e-05,2.2600000000000002
COEVOLVE_C,16,0.2203899173903727,0.33842629004188207,5.0,3.378141037341013e-05,2.2633333333333336
COEVOLVE_C,17,0.2367690608028917,0.3423255274346525,5.0,3.378141037341013e-05,2.4133333333333336
COEVOLVE_C,18,0.2164817167810673,0.3360831232739883,5.0,3.598703427211995e-05,2.6566666666666667
COEVOLVE_C,19,0.17001683482250415,0.33562389695071965,5.0,3.598703427211995e-05,2.6633333333333336
COEVOLVE_C,20,0.21472282714050303,0.31956085427570496,5.0,3.598703427211995e-05,2.6666666666666665
COEVOLVE_C,21,0.19896565875472852,0.331176267769601,5.0,3.631764596710144e-05,2.6133333333333337
COEVOLVE_C,22,0.18026472964170187,0.3354392218443329,5.0,3.635404165950464e-05,2.8566666666666674
COEVOLVE_C,23,0.19450000836007,0.3089416877423904,5.0,3.635404165950464e-05,2.8799999999999994
COEVOLVE_C,24,0.20037437187761953,0.3238564594565482,5.0,3.640109721614654e-05,2.9466666666666668
COEVOLVE_C,25,0.1918932937843215,0.3134687060252766,5.0,3.640109721614654e-05,2.8866666666666663
COEVOLVE_C,26,0.17904017192909077,0.3172525870619032,5.0,3.640109721614654e-05,3.2633333333333336
COEVOLVE_C,27,0.11709713899444942,0.29267255782164586,5.0,3.640109721614654e-05,2.9266666666666667
COEVOLVE_C,28,0.1584922787017925,0.3107219932399072,5.0,3.640109721614654e-05,2.9466666666666663
COEVOLVE_C,29,0.14682008918806685,0.32704474911542014,5.0,3.659131021740846e-05,2.8866666666666663
COEVOLVE_C,30,0.15607302300131626,0.3127440814476775,5.0,3.839481237436429e-05,3.0866666666666673
